rowid,building,floor,height,rooms,square,price
2-21,2,5,32,2комн.,60.66,7822400
2-210,2,27,32,2комн.,60.66,9655700
2-211,2,27,32,1комн.,38.59,6341000
2-212,2,27,32,2комн.,63.24,10066400
2-213,2,27,32,2комн.,64.5,10266900
2-214,2,27,32,3комн.,86.25,13337900
2-215,2,27,32,1комн.,38.8,6351500
2-216,2,27,32,1комн.,38.79,6349900
2-217,2,28,32,2комн.,58.34,9361400
2-218,2,28,32,2комн.,68.64,11141300
2-219,2,28,32,2комн.,60.66,9771100
2-220,2,28,32,1комн.,38.59,6414400
2-221,2,28,32,2комн.,63.24,10186700
2-222,2,28,32,2комн.,64.5,10389700
2-223,2,28,32,3комн.,86.25,13502000
2-224,2,28,32,1комн.,38.8,6425400
2-225,2,28,32,1комн.,38.79,6423700
2-226,2,29,32,2комн.,58.34,9472400
2-227,2,29,32,2комн.,68.64,11271900
2-228,2,29,32,2комн.,60.66,9886500
2-229,2,29,32,1комн.,38.59,6487800
2-23,2,5,32,2комн.,63.24,8155100
2-230,2,29,32,2комн.,63.24,10307000
2-231,2,29,32,2комн.,64.5,10512400
2-232,2,29,32,3комн.,86.25,13666200
2-233,2,29,32,1комн.,38.8,6499200
2-234,2,29,32,1комн.,38.79,6497500
2-235,2,30,32,2комн.,58.34,9583400
2-236,2,30,32,2комн.,68.64,11402500
2-237,2,30,32,2комн.,60.66,10001900
2-238,2,30,32,1комн.,38.59,6561300
2-239,2,30,32,2комн.,63.24,10427400
2-240,2,30,32,2комн.,64.5,10635100
2-241,2,30,32,3комн.,86.25,13830300
2-242,2,30,32,1комн.,38.8,6573000
2-243,2,30,32,1комн.,38.79,6571300
2-244,2,31,32,2комн.,58.34,9694400
2-245,2,31,32,2комн.,68.64,11533100
2-246,2,31,32,2комн.,60.66,10117400
2-247,2,31,32,1комн.,38.59,6634700
2-248,2,31,32,2комн.,63.24,10547700
2-249,2,31,32,2комн.,64.5,10757800
2-250,2,31,32,3комн.,86.25,13994400
2-251,2,31,32,1комн.,38.8,6646800
2-252,2,31,32,1комн.,38.79,6645100
2-253,2,32,32,2комн.,58.34,9916400
2-254,2,32,32,2комн.,68.64,11794400
2-255,2,32,32,2комн.,60.66,10348200
2-256,2,32,32,1комн.,38.59,6781600
2-257,2,32,32,2комн.,63.24,10788300
2-258,2,32,32,2комн.,64.5,11003300
2-259,2,32,32,3комн.,86.25,14322600
2-260,2,32,32,1комн.,38.8,6794500
2-261,2,32,32,1комн.,38.79,6792700
2-27,2,5,32,1комн.,38.79,5201600
2-29,2,6,32,2комн.,68.64,8940500
2-3,2,3,32,2комн.,60.66,7814900
2-33,2,6,32,2комн.,64.5,8321600
2-36,2,6,32,1комн.,38.79,5204000
2-37,2,7,32,2комн.,58.34,7530500
2-38,2,7,32,2комн.,68.64,8944800
2-48,2,8,32,2комн.,60.66,7833700
2-5,2,3,32,2комн.,63.24,8147300
2-56,2,9,32,2комн.,68.64,8953300
2-6,2,3,32,2комн.,64.5,8309700
2-63,2,9,32,1комн.,38.79,5211100
2-73,2,11,32,2комн.,58.34,7548500
2-75,2,11,32,2комн.,60.66,7848700
2-78,2,11,32,2комн.,64.5,8345500
2-8,2,3,32,1комн.,38.8,5198100
2-82,2,12,32,2комн.,58.34,7552100
2-86,2,12,32,2комн.,63.24,8186400
2-89,2,12,32,1комн.,38.8,5222100
2-9,2,3,32,1комн.,38.79,5196800
2-91,2,13,32,2комн.,58.34,7555700
2-92,2,13,32,2комн.,68.64,8974500
2-93,2,13,32,2комн.,60.66,7856200
2-95,2,13,32,2комн.,63.24,8190300
2-96,2,13,32,2комн.,64.5,8353500
2-97,2,13,32,3комн.,86.25,10779300
2-98,2,13,32,1комн.,38.8,5224500
2-99,2,13,32,1комн.,38.79,5223100
